Designator,Mid X,Mid Y,Rotation,Layer
D1,64.01315,-221.011031,160,top
D2,69.088046,-225.95318,147,top
D3,72.389354,-227.263141,180,top
D4,83.438708,-225.197033,-170,top
D5,107.755019,-199.599204,-120,top
D6,127.091413,-184.373689,-128,top
D7,142.58449,-169.170777,-155,top
D8,179.986883,-149.000689,-158,top
D9,194.912429,-139.373214,-125,top
D10,204.11163,-120.667822,-118,top
D11,203.843663,-92.285792,-85,top
D12,205.857113,-75.282647,-108,top
D13,209.079042,-76.177627,72,top
D14,207.29573,-91.838207,95,top
D15,207.278533,-122.266443,62,top
D16,197.827121,-141.277922,55,top
D17,181.439888,-152.119361,22,top
D18,144.254577,-172.369314,25,top
D19,129.928047,-186.417734,52,top
D20,110.837055,-201.410951,60,top
D21,84.284485,-228.653582,10,top
D22,72.318444,-230.64911,0,top
D23,67.287365,-228.874286,-33,top
D24,62.865848,-224.265773,-20,top
