Designator,Mid X,Mid Y,Rotation,Layer
D1,108.157449,-245.288067,-119,top
D2,114.65535,-231.735553,-121,top
D3,118.549799,-221.199075,-110,top
D4,123.430451,-212.233572,-115,top
D5,128.154003,-199.965665,-125,top
D6,134.807866,-192.076308,-128,top
D7,141.288911,-184.920832,-128,top
D8,151.776869,-174.884648,-165,top
D9,162.991,-172.452587,-116,top
D10,164.25,-169.25,-90,top
D11,166.763623,-163.727092,-128,top
D12,169.373676,-159.735225,-94,top
D13,169.278702,-154.957873,-76,top
D14,167.313713,-151.530884,-56,top
D15,156.24722,-139.099574,-31,top
D16,148.1802,-122.27112,-90,top
D17,147.876542,-110.886071,-83,top
D18,147.812199,-96.413204,-92,top
D19,150.813686,-59.146162,-105,top
D20,154.537007,-43.311146,-95,top
D21,158.019389,-43.548264,85,top
D22,154.175597,-60.088431,75,top
D23,151.323845,-96.487675,88,top
D24,151.443027,-110.49207,97,top
D25,151.660629,-122.23662,90,top
D26,158.169953,-136.085508,149,top
D27,170.110604,-149.316577,124,top
D28,172.67051,-154.101976,104,top
D29,172.847524,-159.973609,86,top
D30,169.4038,-165.949269,52,top
D31,167.626384,-169.41422,90,top
D32,166.046978,-174.14469,64,top
D33,152.503985,-178.288368,15,top
D34,144.067827,-187.024873,52,top
D35,137.361094,-193.980135,52,top
D36,131.01862,-202.022569,55,top
D37,126.660143,-213.66942,65,top
D38,121.883193,-222.308005,70,top
D39,117.628236,-233.553645,59,top
D40,111.207365,-247.00016,61,top
